uri,a_type
Q1,['universe']
Q100,"['city in the United States', 'big city']"
Q1000,"['country', 'sovereign state']"
Q1000033,"['municipality of the Czech Republic', 'Czech municipality with expanded powers', 'municipality with authorized municipal office', 'municipality with town privileges in the Czech Republic']"
Q1000060,"['municipality of the Czech Republic', 'Czech municipality with expanded powers', 'municipality with authorized municipal office', 'municipality with town privileges in the Czech Republic']"
Q1000065,"['county seat', 'city in the United States']"
Q10001,"['Hanseatic city', 'municipality of the Netherlands']"
Q1000101,"['municipality of the Czech Republic', 'Czech municipality with expanded powers', 'municipality with authorized municipal office', 'municipality with town privileges in the Czech Republic']"
Q1000104,['award']
Q100019,"['village', 'cadastral populated place in the Netherlands']"
Q10002,"['big city', 'cadastral populated place in the Netherlands', 'municipality of the Netherlands', 'place with town rights and privileges']"
Q1000217,['city in the United States']
Q1000222,"['border city', 'city in the United States']"
Q100025380,['human']
Q10003,"['village', 'cadastral populated place in the Netherlands', 'municipality of the Netherlands']"
Q10003300,['family name']
Q1000336,"['big city', 'seat of government', 'locality', 'city of Argentina']"
Q1000433,['male given name']
Q1000461,['city in Ukraine']
Q1000478,"['association football club', ""women's association football team"", ""women's association football club""]"
Q10005,['municipality of the Netherlands']
Q1000511,['human settlement']
Q1000580,['cadastral populated place in the Netherlands']
Q1000597,"['town', 'market town']"
Q10006,"['city', 'cadastral populated place in the Netherlands', 'municipality of the Netherlands']"
Q1000642,['city in New Jersey']
Q100065,['commune of Italy']
Q1000656,"['town', 'civil parish']"
Q1000679,"['town', 'civil parish', 'market town']"
Q1000682,['human']
Q1000817,"['town', 'cadastral populated place in the Netherlands', 'municipality of the Netherlands']"
Q100084,['commune of Italy']
Q1000871,"['town', 'district of Turkey']"
Q100089,['commune of Italy']
Q1000938,['city']
Q1001,['human']
Q1001056,['town']
Q1001134,['town in the United States']
Q1001147,['human']
Q1001154,['urban area in Sweden']
Q1001183,['urban area in Sweden']
Q100130,['district of India']
Q1001316,"['city in the United States', 'municipality of Georgia']"
